project	field_data_id	sample_id	sample_id_class	canonical_candidate	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	primary_taxon_fields_empty	field.MatchedCanonical	field.TaxonId	field.catalogue_number	field.collector_fullname	field.collector_inat	field.collector_orcid	field.comment_eco	field.comment_env	field.date	field.date_created	field.date_updated	field.extracted_id	field.geometry	field.herbivory_percent	field.id	field.inat_upload	field.ipen	field.is_wild	field.latitude	field.longitude	field.match_name	field.name_proposition	field.no_name_on_list	field.observation_subject	field.ott_id	field.picture_cut	field.picture_detail	field.picture_free	field.picture_general	field.picture_panel	field.picture_panel_label	field.project	field.qfield_project	field.rank	field.sample_id	field.sample_name	field.soil_type	field.taxon_name	field.taxon_name_final	field.taxon_name_unified	field.temperature_°C	field.unique_id	field.unknown	field.user_created	field.user_updated	field.uuid_qfield	field.weather	field.wikidataID	field.x_coord	field.y_coord	directus_row_json
medicin_alps	71304	meda_000001	canonical				missing_all_taxon_information			taxon_name;sample_name;taxon_name_final				Lysandre Journiac		0009-0008-4179-5600	Com meda_00001		20250613163453	2025-06-20T14:00:47.748Z	2025-08-14T14:00:49.079Z		"{""coordinates"": [6.419376870330471, 45.039960339684406], ""type"": ""Point""}"		71304	1		1	6.419377	45.03996			1	Leaf		DCIM/meda_collection/NA_meda_000001_04.jpg	DCIM/meda_collection/NA_meda_000001_03.jpg		DCIM/meda_collection/NA_meda_000001_02.jpg	DCIM/meda_collection/NA_meda_000001_01.jpg	DCIM/meda_collection/NA_meda_000001_05.jpg		medicin_alps		meda_000001									053e0368-4ed8-4569-a070-81a22ad13957	053e0368-4ed8-4569-a070-81a22ad13957				969168.44	6443686	"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Lysandre Journiac"", ""collector_inat"": null, ""collector_orcid"": ""0009-0008-4179-5600"", ""comment_eco"": ""Com meda_00001"", ""comment_env"": null, ""date"": ""20250613163453"", ""date_created"": ""2025-06-20T14:00:47.748Z"", ""date_updated"": ""2025-08-14T14:00:49.079Z"", ""extracted_id"": null, ""geometry"": {""coordinates"": [6.419376870330471, 45.039960339684406], ""type"": ""Point""}, ""herbivory_percent"": null, ""id"": 71304, ""inat_upload"": 1, ""ipen"": null, ""is_wild"": 1, ""latitude"": 6.419377, ""longitude"": 45.03996, ""match_name"": null, ""name_proposition"": null, ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/meda_collection/NA_meda_000001_04.jpg"", ""picture_detail"": ""DCIM/meda_collection/NA_meda_000001_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/meda_collection/NA_meda_000001_02.jpg"", ""picture_panel"": ""DCIM/meda_collection/NA_meda_000001_01.jpg"", ""picture_panel_label"": ""DCIM/meda_collection/NA_meda_000001_05.jpg"", ""project"": null, ""qfield_project"": ""medicin_alps"", ""rank"": null, ""sample_id"": ""meda_000001"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""taxon_name_unified"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": 969168.44, ""y_coord"": 6443686}"
medicin_alps	71346	meda_000157	canonical				missing_all_taxon_information			taxon_name;sample_name;taxon_name_final				Lysandre Journiac		0009-0008-4179-5600	Com 157		20250623121524	2025-08-12T11:48:44.959Z	2025-08-14T14:00:50.349Z		"{""coordinates"": [6.419409995177916, 45.03977507904671], ""type"": ""Point""}"		71346	1		1	6.41941	45.039776			1	Leaf		DCIM/meda_collection/NA_meda_000157_04.jpg	DCIM/meda_collection/NA_meda_000157_03.jpg		DCIM/meda_collection/NA_meda_000157_02.jpg	DCIM/meda_collection/NA_meda_000157_01.jpg	DCIM/meda_collection/NA_meda_000157_05.jpg		medicin_alps		meda_000157									053e0368-4ed8-4569-a070-81a22ad13957	053e0368-4ed8-4569-a070-81a22ad13957				969171.94	6443665.5	"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Lysandre Journiac"", ""collector_inat"": null, ""collector_orcid"": ""0009-0008-4179-5600"", ""comment_eco"": ""Com 157"", ""comment_env"": null, ""date"": ""20250623121524"", ""date_created"": ""2025-08-12T11:48:44.959Z"", ""date_updated"": ""2025-08-14T14:00:50.349Z"", ""extracted_id"": null, ""geometry"": {""coordinates"": [6.419409995177916, 45.03977507904671], ""type"": ""Point""}, ""herbivory_percent"": null, ""id"": 71346, ""inat_upload"": 1, ""ipen"": null, ""is_wild"": 1, ""latitude"": 6.41941, ""longitude"": 45.039776, ""match_name"": null, ""name_proposition"": null, ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/meda_collection/NA_meda_000157_04.jpg"", ""picture_detail"": ""DCIM/meda_collection/NA_meda_000157_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/meda_collection/NA_meda_000157_02.jpg"", ""picture_panel"": ""DCIM/meda_collection/NA_meda_000157_01.jpg"", ""picture_panel_label"": ""DCIM/meda_collection/NA_meda_000157_05.jpg"", ""project"": null, ""qfield_project"": ""medicin_alps"", ""rank"": null, ""sample_id"": ""meda_000157"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""taxon_name_unified"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": 969171.94, ""y_coord"": 6443665.5}"
medicin_alps	71350	meda_000161	canonical				missing_all_taxon_information			taxon_name;sample_name;taxon_name_final				Lysandre Journiac		0009-0008-4179-5600	Com 160		20250623123349	2025-08-12T11:48:45.098Z	2025-08-14T14:00:50.461Z		"{""coordinates"": [6.41929166184441, 45.03984841238003], ""type"": ""Point""}"		71350	1		1	6.4192915	45.03985			1	Leaf		DCIM/meda_collection/NA_meda_000161_04.jpg	DCIM/meda_collection/NA_meda_000161_03.jpg		DCIM/meda_collection/NA_meda_000161_02.jpg	DCIM/meda_collection/NA_meda_000161_01.jpg	DCIM/meda_collection/NA_meda_000161_05.jpg		medicin_alps		meda_000161									053e0368-4ed8-4569-a070-81a22ad13957	053e0368-4ed8-4569-a070-81a22ad13957				969162.25	6443673.5	"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Lysandre Journiac"", ""collector_inat"": null, ""collector_orcid"": ""0009-0008-4179-5600"", ""comment_eco"": ""Com 160"", ""comment_env"": null, ""date"": ""20250623123349"", ""date_created"": ""2025-08-12T11:48:45.098Z"", ""date_updated"": ""2025-08-14T14:00:50.461Z"", ""extracted_id"": null, ""geometry"": {""coordinates"": [6.41929166184441, 45.03984841238003], ""type"": ""Point""}, ""herbivory_percent"": null, ""id"": 71350, ""inat_upload"": 1, ""ipen"": null, ""is_wild"": 1, ""latitude"": 6.4192915, ""longitude"": 45.03985, ""match_name"": null, ""name_proposition"": null, ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/meda_collection/NA_meda_000161_04.jpg"", ""picture_detail"": ""DCIM/meda_collection/NA_meda_000161_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/meda_collection/NA_meda_000161_02.jpg"", ""picture_panel"": ""DCIM/meda_collection/NA_meda_000161_01.jpg"", ""picture_panel_label"": ""DCIM/meda_collection/NA_meda_000161_05.jpg"", ""project"": null, ""qfield_project"": ""medicin_alps"", ""rank"": null, ""sample_id"": ""meda_000161"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""taxon_name_unified"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": 969162.25, ""y_coord"": 6443673.5}"
medicin_alps	71356	meda_000167	canonical				missing_all_taxon_information			taxon_name;sample_name;taxon_name_final				Lysandre Journiac		0009-0008-4179-5600	Com 166		20250623125937	2025-08-12T11:48:45.307Z	2025-08-14T14:00:50.633Z		"{""coordinates"": [6.419103411191118, 45.03993336430671], ""type"": ""Point""}"		71356	1		1	6.4191036	45.039932			1	Leaf		DCIM/meda_collection/NA_meda_000167_04.jpg	DCIM/meda_collection/NA_meda_000167_03.jpg		DCIM/meda_collection/NA_meda_000167_02.jpg	DCIM/meda_collection/NA_meda_000167_01.jpg	DCIM/meda_collection/NA_meda_000167_05.jpg		medicin_alps		meda_000167									053e0368-4ed8-4569-a070-81a22ad13957	053e0368-4ed8-4569-a070-81a22ad13957				969147.06	6443682	"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Lysandre Journiac"", ""collector_inat"": null, ""collector_orcid"": ""0009-0008-4179-5600"", ""comment_eco"": ""Com 166"", ""comment_env"": null, ""date"": ""20250623125937"", ""date_created"": ""2025-08-12T11:48:45.307Z"", ""date_updated"": ""2025-08-14T14:00:50.633Z"", ""extracted_id"": null, ""geometry"": {""coordinates"": [6.419103411191118, 45.03993336430671], ""type"": ""Point""}, ""herbivory_percent"": null, ""id"": 71356, ""inat_upload"": 1, ""ipen"": null, ""is_wild"": 1, ""latitude"": 6.4191036, ""longitude"": 45.039932, ""match_name"": null, ""name_proposition"": null, ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/meda_collection/NA_meda_000167_04.jpg"", ""picture_detail"": ""DCIM/meda_collection/NA_meda_000167_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/meda_collection/NA_meda_000167_02.jpg"", ""picture_panel"": ""DCIM/meda_collection/NA_meda_000167_01.jpg"", ""picture_panel_label"": ""DCIM/meda_collection/NA_meda_000167_05.jpg"", ""project"": null, ""qfield_project"": ""medicin_alps"", ""rank"": null, ""sample_id"": ""meda_000167"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""taxon_name_unified"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": 969147.06, ""y_coord"": 6443682}"
medicin_alps	71360	meda_000171	canonical				missing_all_taxon_information			taxon_name;sample_name;taxon_name_final				Lysandre Journiac		0009-0008-4179-5600	Com 171		20250623132214	2025-08-12T11:48:45.451Z	2025-08-14T14:00:50.748Z		"{""coordinates"": [6.419015077857871, 45.04003836430675], ""type"": ""Point""}"		71360	1		1	6.419015	45.04004			1	Leaf		DCIM/meda_collection/NA_meda_000171_04.jpg	DCIM/meda_collection/Geum montanum _meda_000170_03.jpg		DCIM/meda_collection/NA_meda_000171_02.jpg	DCIM/meda_collection/NA_meda_000171_01.jpg	DCIM/meda_collection/NA_meda_000171_05.jpg		medicin_alps		meda_000171									053e0368-4ed8-4569-a070-81a22ad13957	053e0368-4ed8-4569-a070-81a22ad13957				969139.56	6443693.5	"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Lysandre Journiac"", ""collector_inat"": null, ""collector_orcid"": ""0009-0008-4179-5600"", ""comment_eco"": ""Com 171"", ""comment_env"": null, ""date"": ""20250623132214"", ""date_created"": ""2025-08-12T11:48:45.451Z"", ""date_updated"": ""2025-08-14T14:00:50.748Z"", ""extracted_id"": null, ""geometry"": {""coordinates"": [6.419015077857871, 45.04003836430675], ""type"": ""Point""}, ""herbivory_percent"": null, ""id"": 71360, ""inat_upload"": 1, ""ipen"": null, ""is_wild"": 1, ""latitude"": 6.419015, ""longitude"": 45.04004, ""match_name"": null, ""name_proposition"": null, ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/meda_collection/NA_meda_000171_04.jpg"", ""picture_detail"": ""DCIM/meda_collection/Geum montanum _meda_000170_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/meda_collection/NA_meda_000171_02.jpg"", ""picture_panel"": ""DCIM/meda_collection/NA_meda_000171_01.jpg"", ""picture_panel_label"": ""DCIM/meda_collection/NA_meda_000171_05.jpg"", ""project"": null, ""qfield_project"": ""medicin_alps"", ""rank"": null, ""sample_id"": ""meda_000171"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""taxon_name_unified"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": 969139.56, ""y_coord"": 6443693.5}"
medicin_alps	71566	meda_000177	canonical				missing_all_taxon_information			taxon_name;sample_name;taxon_name_final				Lysandre Journiac		0009-0008-4179-5600	Com 176		20250624103840	2025-08-12T11:48:51.164Z	2025-08-14T14:00:56.454Z		"{""coordinates"": [6.419225395620599, 45.04002007343723], ""type"": ""Point""}"		71566	1		1	6.419225	45.04002			1	Leaf		DCIM/meda_collection/NA_meda_000177_04.jpg	DCIM/meda_collection/Bistorta vivipara_meda_000176_03.jpg		DCIM/meda_collection/NA_meda_000177_02.jpg	DCIM/meda_collection/NA_meda_000177_01.jpg	DCIM/meda_collection/NA_meda_000177_05.jpg		medicin_alps		meda_000177									053e0368-4ed8-4569-a070-81a22ad13957	053e0368-4ed8-4569-a070-81a22ad13957				969156.25	6443692	"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Lysandre Journiac"", ""collector_inat"": null, ""collector_orcid"": ""0009-0008-4179-5600"", ""comment_eco"": ""Com 176"", ""comment_env"": null, ""date"": ""20250624103840"", ""date_created"": ""2025-08-12T11:48:51.164Z"", ""date_updated"": ""2025-08-14T14:00:56.454Z"", ""extracted_id"": null, ""geometry"": {""coordinates"": [6.419225395620599, 45.04002007343723], ""type"": ""Point""}, ""herbivory_percent"": null, ""id"": 71566, ""inat_upload"": 1, ""ipen"": null, ""is_wild"": 1, ""latitude"": 6.419225, ""longitude"": 45.04002, ""match_name"": null, ""name_proposition"": null, ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/meda_collection/NA_meda_000177_04.jpg"", ""picture_detail"": ""DCIM/meda_collection/Bistorta vivipara_meda_000176_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/meda_collection/NA_meda_000177_02.jpg"", ""picture_panel"": ""DCIM/meda_collection/NA_meda_000177_01.jpg"", ""picture_panel_label"": ""DCIM/meda_collection/NA_meda_000177_05.jpg"", ""project"": null, ""qfield_project"": ""medicin_alps"", ""rank"": null, ""sample_id"": ""meda_000177"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""taxon_name_unified"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": 969156.25, ""y_coord"": 6443692}"
medicin_alps	71568	meda_000179 lo	other_noncanonical				missing_all_taxon_information			taxon_name;sample_name;taxon_name_final				Lysandre Journiac		0009-0008-4179-5600			20250624104718	2025-08-12T11:48:51.215Z	2025-08-14T14:00:56.509Z		"{""coordinates"": [6.419418333333334, 45.03982833333333], ""type"": ""Point""}"		71568	1		1	6.4194183	45.03983			1	Leaf		DCIM/meda_collection/NA_meda_000179 lo_04.jpg	DCIM/meda_collection/NA_meda_000179 lo_03.jpg		DCIM/meda_collection/NA_meda_000179_02.jpg	DCIM/meda_collection/NA_meda_000179_01.jpg	DCIM/meda_collection/NA_meda_000179_05.jpg		medicin_alps		meda_000179 lo									053e0368-4ed8-4569-a070-81a22ad13957	053e0368-4ed8-4569-a070-81a22ad13957				969172.3	6443671.5	"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Lysandre Journiac"", ""collector_inat"": null, ""collector_orcid"": ""0009-0008-4179-5600"", ""comment_eco"": null, ""comment_env"": null, ""date"": ""20250624104718"", ""date_created"": ""2025-08-12T11:48:51.215Z"", ""date_updated"": ""2025-08-14T14:00:56.509Z"", ""extracted_id"": null, ""geometry"": {""coordinates"": [6.419418333333334, 45.03982833333333], ""type"": ""Point""}, ""herbivory_percent"": null, ""id"": 71568, ""inat_upload"": 1, ""ipen"": null, ""is_wild"": 1, ""latitude"": 6.4194183, ""longitude"": 45.03983, ""match_name"": null, ""name_proposition"": null, ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/meda_collection/NA_meda_000179 lo_04.jpg"", ""picture_detail"": ""DCIM/meda_collection/NA_meda_000179 lo_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/meda_collection/NA_meda_000179_02.jpg"", ""picture_panel"": ""DCIM/meda_collection/NA_meda_000179_01.jpg"", ""picture_panel_label"": ""DCIM/meda_collection/NA_meda_000179_05.jpg"", ""project"": null, ""qfield_project"": ""medicin_alps"", ""rank"": null, ""sample_id"": ""meda_000179 lo"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""taxon_name_unified"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": 969172.3, ""y_coord"": 6443671.5}"
medicin_alps	71570	meda_000181	canonical				missing_all_taxon_information			taxon_name;sample_name;taxon_name_final				Lysandre Journiac		0009-0008-4179-5600			20250624105332	2025-08-12T11:48:51.267Z	2025-08-14T14:00:56.564Z		"{""coordinates"": [6.419369999999999, 45.03985666666665], ""type"": ""Point""}"		71570	1		1	6.41937	45.039856			1	Leaf		DCIM/meda_collection/NA_meda_000181_04.jpg	DCIM/meda_collection/NA_meda_000181_03.jpg		DCIM/meda_collection/NA_meda_000181_02.jpg	DCIM/meda_collection/NA_meda_000181_01.jpg	DCIM/meda_collection/NA_meda_000181_05.jpg		medicin_alps		meda_000181									053e0368-4ed8-4569-a070-81a22ad13957	053e0368-4ed8-4569-a070-81a22ad13957				969168.4	6443674.5	"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Lysandre Journiac"", ""collector_inat"": null, ""collector_orcid"": ""0009-0008-4179-5600"", ""comment_eco"": null, ""comment_env"": null, ""date"": ""20250624105332"", ""date_created"": ""2025-08-12T11:48:51.267Z"", ""date_updated"": ""2025-08-14T14:00:56.564Z"", ""extracted_id"": null, ""geometry"": {""coordinates"": [6.419369999999999, 45.03985666666665], ""type"": ""Point""}, ""herbivory_percent"": null, ""id"": 71570, ""inat_upload"": 1, ""ipen"": null, ""is_wild"": 1, ""latitude"": 6.41937, ""longitude"": 45.039856, ""match_name"": null, ""name_proposition"": null, ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/meda_collection/NA_meda_000181_04.jpg"", ""picture_detail"": ""DCIM/meda_collection/NA_meda_000181_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/meda_collection/NA_meda_000181_02.jpg"", ""picture_panel"": ""DCIM/meda_collection/NA_meda_000181_01.jpg"", ""picture_panel_label"": ""DCIM/meda_collection/NA_meda_000181_05.jpg"", ""project"": null, ""qfield_project"": ""medicin_alps"", ""rank"": null, ""sample_id"": ""meda_000181"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""taxon_name_unified"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": 969168.4, ""y_coord"": 6443674.5}"
medicin_alps	71572	meda_000183	canonical				missing_all_taxon_information			taxon_name;sample_name;taxon_name_final				Lysandre Journiac		0009-0008-4179-5600	Com 182		20250624110242	2025-08-12T11:48:51.317Z	2025-08-14T14:00:56.620Z		"{""coordinates"": [6.419349999999999, 45.03987833333332], ""type"": ""Point""}"		71572	1	P	1	6.41935	45.03988			1	Leaf		DCIM/meda_collection/NA_meda_000183_04.jpg	DCIM/meda_collection/NA_meda_000183_03.jpg		DCIM/meda_collection/NA_meda_000183_02.jpg	DCIM/meda_collection/NA_meda_000183_01.jpg	DCIM/meda_collection/NA_meda_000183_05.jpg		medicin_alps		meda_000183									053e0368-4ed8-4569-a070-81a22ad13957	053e0368-4ed8-4569-a070-81a22ad13957				969166.7	6443677	"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Lysandre Journiac"", ""collector_inat"": null, ""collector_orcid"": ""0009-0008-4179-5600"", ""comment_eco"": ""Com 182"", ""comment_env"": null, ""date"": ""20250624110242"", ""date_created"": ""2025-08-12T11:48:51.317Z"", ""date_updated"": ""2025-08-14T14:00:56.620Z"", ""extracted_id"": null, ""geometry"": {""coordinates"": [6.419349999999999, 45.03987833333332], ""type"": ""Point""}, ""herbivory_percent"": null, ""id"": 71572, ""inat_upload"": 1, ""ipen"": ""P"", ""is_wild"": 1, ""latitude"": 6.41935, ""longitude"": 45.03988, ""match_name"": null, ""name_proposition"": null, ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/meda_collection/NA_meda_000183_04.jpg"", ""picture_detail"": ""DCIM/meda_collection/NA_meda_000183_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/meda_collection/NA_meda_000183_02.jpg"", ""picture_panel"": ""DCIM/meda_collection/NA_meda_000183_01.jpg"", ""picture_panel_label"": ""DCIM/meda_collection/NA_meda_000183_05.jpg"", ""project"": null, ""qfield_project"": ""medicin_alps"", ""rank"": null, ""sample_id"": ""meda_000183"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""taxon_name_unified"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": 969166.7, ""y_coord"": 6443677}"
medicin_alps	71574	meda_000185	canonical				missing_all_taxon_information			taxon_name;sample_name;taxon_name_final				Lysandre Journiac		0009-0008-4179-5600	Com 184		20250624110914	2025-08-12T11:48:51.369Z	2025-08-14T14:00:56.674Z		"{""coordinates"": [6.419294999999998, 45.039858333333314], ""type"": ""Point""}"		71574	1		1	6.419295	45.03986			1	Leaf		DCIM/meda_collection/NA_meda_000185_04.jpg	DCIM/meda_collection/NA_meda_000185_03.jpg		DCIM/meda_collection/NA_meda_000185_02.jpg	DCIM/meda_collection/NA_meda_000185_01.jpg	DCIM/meda_collection/NA_meda_000185_05.jpg		medicin_alps		meda_000185									053e0368-4ed8-4569-a070-81a22ad13957	053e0368-4ed8-4569-a070-81a22ad13957				969162.5	6443674.5	"{""MatchedCanonical"": null, ""TaxonId"": null, ""catalogue_number"": null, ""collector_fullname"": ""Lysandre Journiac"", ""collector_inat"": null, ""collector_orcid"": ""0009-0008-4179-5600"", ""comment_eco"": ""Com 184"", ""comment_env"": null, ""date"": ""20250624110914"", ""date_created"": ""2025-08-12T11:48:51.369Z"", ""date_updated"": ""2025-08-14T14:00:56.674Z"", ""extracted_id"": null, ""geometry"": {""coordinates"": [6.419294999999998, 45.039858333333314], ""type"": ""Point""}, ""herbivory_percent"": null, ""id"": 71574, ""inat_upload"": 1, ""ipen"": null, ""is_wild"": 1, ""latitude"": 6.419295, ""longitude"": 45.03986, ""match_name"": null, ""name_proposition"": null, ""no_name_on_list"": 1, ""observation_subject"": ""Leaf"", ""ott_id"": null, ""picture_cut"": ""DCIM/meda_collection/NA_meda_000185_04.jpg"", ""picture_detail"": ""DCIM/meda_collection/NA_meda_000185_03.jpg"", ""picture_free"": null, ""picture_general"": ""DCIM/meda_collection/NA_meda_000185_02.jpg"", ""picture_panel"": ""DCIM/meda_collection/NA_meda_000185_01.jpg"", ""picture_panel_label"": ""DCIM/meda_collection/NA_meda_000185_05.jpg"", ""project"": null, ""qfield_project"": ""medicin_alps"", ""rank"": null, ""sample_id"": ""meda_000185"", ""sample_name"": null, ""soil_type"": null, ""taxon_name"": null, ""taxon_name_final"": null, ""taxon_name_unified"": null, ""temperature_°C"": null, ""unique_id"": null, ""unknown"": null, ""user_created"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""user_updated"": ""053e0368-4ed8-4569-a070-81a22ad13957"", ""uuid_qfield"": null, ""weather"": null, ""wikidataID"": null, ""x_coord"": 969162.5, ""y_coord"": 6443674.5}"
