csv_row_number	filename	normalized_filename	file_type	injection	sample_id	container_id	csv_ionization_mode	ms_parent_level	is_sample_file	has_required_csv_identifiers	dried_material_present	dried_samples_data_id	original_sample_container_id	extraction_sample_container_present	extraction_data_id	extraction_sample_container_id	expected_extraction_container_id	aliquot_sample_container_present	aliquoting_data_id	aliquot_sample_container_id	target_ms_parent_container_id	existing_ms_data_id	ready_for_ms_data_import	status	reason
35	250116_ML_Metabo_DDA_sample_41_nr8.mzML	250116_ML_Metabo_DDA_sample_41_nr8	sample	41	absi_000478	absi_000478_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
37	250116_ML_Metabo_DDA_sample_43_nr8.mzML	250116_ML_Metabo_DDA_sample_43_nr8	sample	43	absi_000283	absi_000283_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
41	250116_ML_Metabo_DDA_sample_47_nr8.mzML	250116_ML_Metabo_DDA_sample_47_nr8	sample	47	absi_000603	absi_000603_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
49	250116_ML_Metabo_DDA_sample_54_nr8.mzML	250116_ML_Metabo_DDA_sample_54_nr8	sample	54	absi_000020	absi_000020_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
54	250116_ML_Metabo_DDA_sample_59_nr8.mzML	250116_ML_Metabo_DDA_sample_59_nr8	sample	59	absi_000601	absi_000601_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
68	250116_ML_Metabo_DDA_sample_71_nr8.mzML	250116_ML_Metabo_DDA_sample_71_nr8	sample	71	absi_000636	absi_000636_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
69	250116_ML_Metabo_DDA_sample_72_nr8.mzML	250116_ML_Metabo_DDA_sample_72_nr8	sample	72	absi_000527	absi_000527_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
79	250116_ML_Metabo_DDA_sample_9_nr8.mzML	250116_ML_Metabo_DDA_sample_9_nr8	sample	9	absi_000690	absi_000690_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
81	250117_ML_Metabo_DDA_sample_101_nr8.mzML	250117_ML_Metabo_DDA_sample_101_nr8	sample	101	absi_000495	absi_000495_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
82	250117_ML_Metabo_DDA_sample_102_nr8.mzML	250117_ML_Metabo_DDA_sample_102_nr8	sample	102	absi_000657	absi_000657_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
98	250117_ML_Metabo_DDA_sample_119_nr8.mzML	250117_ML_Metabo_DDA_sample_119_nr8	sample	119	absi_000639	absi_000639_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
104	250117_ML_Metabo_DDA_sample_125_nr8.mzML	250117_ML_Metabo_DDA_sample_125_nr8	sample	125	absi_000529	absi_000529_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
120	250117_ML_Metabo_DDA_sample_141_nr8.mzML	250117_ML_Metabo_DDA_sample_141_nr8	sample	141	absi_000659	absi_000659_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
126	250117_ML_Metabo_DDA_sample_147_nr8.mzML	250117_ML_Metabo_DDA_sample_147_nr8	sample	147	absi_000658	absi_000658_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
169	250120_ML_Metabo_DDA_sample_174_nr8.mzML	250120_ML_Metabo_DDA_sample_174_nr8	sample	174	absi_000554	absi_000554_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
212	250120_ML_Metabo_DDA_sample_219_nr8.mzML	250120_ML_Metabo_DDA_sample_219_nr8	sample	219	absi_000510	absi_000510_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
259	250121_ML_Metabo_DDA_sample_268_nr8.mzML	250121_ML_Metabo_DDA_sample_268_nr8	sample	268	absi_000615	absi_000615_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
264	250121_ML_Metabo_DDA_sample_273_nr8.mzML	250121_ML_Metabo_DDA_sample_273_nr8	sample	273	absi_000632	absi_000632_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
280	250121_ML_Metabo_DDA_sample_289_nr8.mzML	250121_ML_Metabo_DDA_sample_289_nr8	sample	289	absi_000646	absi_000646_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
294	250121_ML_Metabo_DDA_sample_303_nr8.mzML	250121_ML_Metabo_DDA_sample_303_nr8	sample	303	absi_000634	absi_000634_01	positive	extraction	true	true	false			false				false					false	blocked	missing_dried_material;missing_extraction_sample_container
